client_id,probability
002218c52073faaf23bb26df2cffb138,0.6229753
0069d4050c7aeb341317e2e125e8fd2e,0.2841821
0083fb89aea18c408a5534cdd38d7692,0.14912826
014021fa559786c81e9e1d48d378aabb,0.93938243
01759f92152bbb3de79f9493a4a5cd6d,0.67764556
019b5770a0126c8e9653024d90c24a47,0.065045066
01cdd2938bb35672179f413d33eff98c,0.4799123
01d3775fb2681e22e24e2824207ff773,0.7316926
0232d0facd3282f8317b16a1fa7a332f,0.49832952
0238142546a9e0b4ef8a14b769a3780b,0.68066955
0255393cde0896506f6e9f43c13218de,0.6480451
026568b7a3cd99d2aaab3597911253a9,0.3286169
02c38e5b3990448f6f1febd6185255ec,0.39370775
035f8387d2dea7bda47401725835d896,0.69671714
038506db89c32294c008fae5c1df4e22,0.62826276
03eb714e5f1783667ce3d442661b2229,0.5383001
03efb0f0c95daa0b02cabf04679088a4,0.52895576
0433dca07ab24e4637ae6e2623743fa7,0.2861781
04c612cce1088d68cdc96b7daddfde8b,0.4828256
04e889ad08182788e9aa9a24781cfcc3,0.095738366
04f8166edf36837eed65872549e34276,0.33348933
053e23227360c3dc193644ab67649479,0.75964594
056ffeb0a7354fc63466fde5bd97bc53,0.8072031
06fbfdd5130e86ba92dc8227c9ab576f,0.57730806
0708aafb59be1c5883f828d93c3d4554,0.081066355
07133675964764ae7b4e3bab62775fff,0.73214394
07e030daed7a613f440d1b063a267355,0.38608918
07fe858d26127b0050538f98f555d151,0.46587604
081cac1126d838e9451ae8e38ef0838c,0.64756435
088304f0972a4118cdb8e54a59054d52,0.8056065
090d8a7ec72583bd43d2d4708ba8f3dd,0.9568345
09101afc651d96df1772d9d7b08cba2a,0.26194766
095c222474bfafda68236758964916a4,0.8125031
09f496253c803fb33d4fa167c7f16b50,0.6990416
0a42d72d5f8e633bce3ad88283e35b32,0.3716134
0ac0c7fa0e14e7c7827ef1818ae2ca66,0.6715555
0adbac13d3e75dccbea5ff1c03a0afe5,0.8322711
0ae081b41c51d1780f252a11fcb14e83,0.044515293
0af41dd557bf452cbdc9b8ff81bd7230,0.4398735
0b7ef654415c3835a7f46c45537da5d6,0.1377137
0c60effea5218f9676283ad9062ad6c5,0.35537902
0c73c310fa2f1b5279f20c5300f2b925,0.23116936
0c90c478230fcb43ea7492c9f604c1b5,0.12268736
0d11f81b16275479b3745c41e5817431,0.39842138
0d771c2e252240c59858f288fff87907,0.62644774
0d7c26c7028463f9d8a039c432265a98,0.24314603
0d90133f20d690f9dcceef85c545a743,0.02145216
0ddf9a8778d93b887117be12ab67f71f,0.11317197
0e3849ad5378657bbea97057b6cbdca6,0.8346334
0e463cde765c6226d417f78e05e10c4f,0.39375284
0ef1908e7689a3783e650d320b3de76d,0.061693452
0f5c62682963a712c12ae4e4c23d6e63,0.7699556
